,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,29.1587,-92.3833,3225725.691147702,559975.1711017846,2003-11-15,3.417677
1,29.307,-92.3837,3242156.928187601,559849.9514404868,2003-11-15,2.882222
2,29.3995,-92.3884,3252403.5879174015,559339.8867029238,2003-11-15,2.794074
3,28.7744,-92.383,3183147.588206719,560226.4122256051,2003-11-15,0.5191919
4,29.0327,-92.3838,3211765.088197888,559999.5554172489,2003-11-15,1.322727
5,28.5163,-92.3835,3154552.6695155012,560325.1073947933,2003-11-15,0.369697
