,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.27,-92.0,3127517.6475354424,598079.1274069969,2006-04-14,0.2
1,28.793,-91.999,3185463.2022213032,597693.6289731506,2006-04-14,0.79
2,28.883,-91.617,3195809.4209530093,634862.554626803,2006-04-14,0.86
3,28.985,-92.001,3206734.9016073095,597319.2118671524,2006-04-14,0.68
4,29.049,-91.616,3214204.7128838715,634744.8583416063,2006-04-14,3.32
5,29.134,-92.0,3223245.132536552,597276.6630510536,2006-04-14,3.62
6,29.257,-92.001,3236873.143430598,597063.4553946651,2006-04-14,9.84
7,29.411,-92.384,3253680.050171373,559760.0744748045,2006-04-14,7.38
8,28.692,-91.617,3174645.595681661,635108.6092507951,2006-04-14,0.45
