,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.51722,-92.3993,3154646.7528473414,558778.5208280716,2006-06-10,0.07
1,28.80018,-93.09925,3185851.6426685634,490314.5209491944,2006-06-10,0.3
2,28.89127,-92.7625,3195962.54970252,523156.6864667986,2006-06-10,0.26
3,28.90707,-92.3927,3197841.5143789705,559204.4032919043,2006-06-10,0.76
4,29.03178,-92.38973,3211660.1571487677,559422.664982419,2006-06-10,0.75
5,29.05125,-92.75887,3213687.6851636562,523474.48815644236,2006-06-10,0.75
6,29.15705,-92.38728,3225540.852022509,559589.0537561907,2006-06-10,1.58
7,29.17633,-92.75762,3227546.027441156,523567.65498152556,2006-06-10,1.22
8,29.29648,-92.7539,3240858.9038671595,523901.44063457387,2006-06-10,0.64
9,29.3072,-92.38395,3242178.9603530387,559825.5563865219,2006-06-10,0.86
10,29.40707,-92.38285,3253245.189648585,559873.9450488127,2006-06-10,5.16
11,29.40983,-92.75223,3253418.178776946,524037.0105867594,2006-06-10,0.88
12,29.53188,-92.74793,3266942.1871078024,524424.8993761725,2006-06-10,5.54
