,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.21605,-90.8346,3123034.9221835234,712509.613584986,2006-06-08,0.15
1,28.2668,-90.83067,3128666.102262989,712794.5890855736,2006-06-08,0.18
2,28.39032,-90.83288,3142351.2335937964,712331.9355444578,2006-06-08,0.6
3,28.49902,-90.83348,3154396.952055651,712056.057671522,2006-06-08,0.83
4,28.60633,-90.83328,3166290.1967502492,711860.5711133417,2006-06-08,0.77
5,28.61227,-90.23633,3168152.3246662347,770236.7841293274,2006-06-08,0.25
6,28.65843,-91.24972,3171396.773810602,671049.0500844109,2006-06-08,0.81
7,28.83187,-90.39292,3192150.721624212,754386.5314300624,2006-06-08,1.62
8,28.84163,-90.83362,3192367.850362718,711353.2119611745,2006-06-08,0.93
9,28.8579,-91.24978,3193501.039333858,670718.2239000848,2006-06-08,3.24
10,28.89952,-91.24858,3198114.9804519457,670767.180890921,2006-06-08,1.6
11,28.915,-90.49247,3201156.0909981215,744474.6476592954,2006-06-08,2.98
12,28.95232,-90.52412,3205227.9068108164,741301.3189027484,2006-06-08,3.37
13,28.98813,-90.51728,3209211.2995108278,741884.8114697164,2006-06-08,4.11
