,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.27347,-92.38525,3127649.8605599906,560291.1322670081,2006-09-10,0.3266
1,28.51715,-92.39935,3154638.973278766,558773.6670430594,2006-09-10,0.3708
2,28.64218,-92.76167,3168366.5011896077,523292.85578658007,2006-09-10,0.6612
3,28.65823,-92.39775,3170269.729512343,558851.6139441064,2006-09-10,0.4202
4,28.75765,-92.76415,3181158.596152054,523025.18755583855,2006-09-10,0.6928
5,28.77508,-92.39598,3183216.4271605,558959.0045285585,2006-09-10,0.559
6,28.80095,-93.09857,3185936.8944228757,490380.95063763444,2006-09-10,0.6356
7,28.8924,-92.76243,3196087.75625436,523163.2608092746,2006-09-10,0.8062
8,28.90975,-92.39235,3198138.615211006,559237.0024031956,2006-09-10,0.528
9,29.03357,-92.39115,3211857.7668314255,559283.3724216558,2006-09-10,0.6718
10,29.15805,-92.3886,3225650.9812235753,559460.1007337125,2006-09-10,2.296
11,29.1751,-92.75662,3227409.9507005373,523665.17181079485,2006-09-10,1.144
12,29.2948,-92.75437,3240672.6692987257,523856.1841591811,2006-09-10,4.11
13,29.40858,-92.75142,3253279.847476975,524115.8867597372,2006-09-10,1.9494
14,29.53287,-92.7524,3267050.9489616905,523991.53343165625,2006-09-10,2.65
