,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.374,-91.255,3139871.0614219285,670991.3808233353,2006-04-15,0.13
1,28.393,-90.846,3142625.1783628957,711040.8059004268,2006-04-15,0.63
2,28.5,-90.842,3154490.534468824,711219.9619790779,2006-04-15,2.24
3,28.717,-90.838,3178547.263062269,711176.8390233831,2006-04-15,7.82
4,28.788,-90.276,3187543.7145730006,765911.0704615657,2006-04-15,2.08
5,28.842,-90.836,3192404.622094158,711120.2108857476,2006-04-15,7.16
6,28.857,-91.251,3193399.549484492,670600.6738102202,2006-04-15,0.99
7,28.858,-90.464,3194896.891840986,747386.5169613147,2006-04-15,5.29
8,28.609,-90.232,3167799.62649942,770668.751574489,2006-04-15,0.3
9,28.582,-91.258,3162915.495733356,670363.119558954,2006-04-15,0.65
