,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.87288,-89.47042,3196411.231732018,259047.31858762895,2006-09-06,8.364
1,28.87332,-89.61883,3196770.7491961634,244567.9458014716,2006-09-06,0.8206
2,28.90368,-89.45707,3199798.174607916,260420.61563300024,2006-09-06,11.504
3,28.95913,-89.11667,3205302.914765071,293730.3372683524,2006-09-06,6.815534
4,28.96913,-89.38307,3206905.324127003,267784.4132007518,2006-09-06,13.348
5,29.03528,-89.32657,3214127.715574115,273436.06201613694,2006-09-06,18.27027
6,29.09588,-89.0117,3220280.1269738637,304220.29265601217,2006-09-06,7.264
7,29.14962,-88.96132,3226153.303099256,309223.59422710043,2006-09-06,17.63
8,29.17888,-88.56685,3228820.0706118555,347642.37346632755,2006-09-06,0.5362
9,28.95087,-89.57623,3205276.1150271753,248911.52757769098,2006-09-06,1.556
