,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.18022,-91.61582,3117941.7135683084,635876.3479364103,2006-06-09,0.18
1,28.26952,-91.9985,3127465.686112071,598226.6947083458,2006-06-09,0.16
2,28.37468,-91.25162,3139951.2126323394,671321.5484310106,2006-06-09,0.18
3,28.48333,-91.23333,3152016.9752340666,672937.2854748764,2006-06-09,0.31
4,28.58297,-91.61642,3162565.394274081,635305.1201048302,2006-06-09,0.26
5,28.58333,-91.23333,3163098.236828049,672774.0219518405,2006-06-09,0.62
6,28.67495,-91.99977,3172383.078405194,597728.2566402939,2006-06-09,0.84
7,28.69153,-91.6174,3174593.0649388726,635070.1316163513,2006-06-09,0.71
8,28.7831,-91.61792,3184738.8507081247,634901.6287461894,2006-06-09,2.98
9,28.7947,-92.00002,3185650.720001195,597592.4920114647,2006-06-09,1.13
10,28.88277,-91.61722,3195783.6851988337,634841.396348745,2006-06-09,0.71
11,28.90088,-91.984,3197428.5345383566,599055.3783168495,2006-06-09,3.04
12,28.98582,-92.0013,3206825.5108311134,597289.2177889966,2006-06-09,1.04
13,28.99713,-91.61753,3208455.3030728637,634663.1807400429,2006-06-09,2.42
14,29.01472,-91.99805,3210030.323682714,597578.6857443047,2006-06-09,1.08
15,28.4498,-91.6165,3147809.907860979,635467.4271296816,2006-06-09,0.19
