,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.7199,-89.9293,3180470.4984172373,213853.03455618676,2003-11-08,3.508516
1,28.8266,-89.9998,3192471.768432059,207261.31690278475,2003-11-08,6.123188
2,28.9242,-90.0314,3203216.0449846974,789421.5362253931,2003-11-08,0.6985402
3,28.9889,-90.0726,3210289.117049702,785225.2908380181,2003-11-08,1.021608
4,29.019,-90.1035,3213551.960859833,782131.3659859558,2003-11-08,1.164565
5,29.0476,-90.141,3216633.6018634303,778400.2302043498,2003-11-08,0.9776842
