,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.87313,-89.47333,3196444.8613342093,258763.97470391158,2006-06-06,9.51
1,28.90362,-89.43312,3199743.310386802,262756.5077974904,2006-06-06,4.51
2,28.95763,-89.11977,3205142.0792016163,293425.18898001977,2006-06-06,22.65
3,28.96748,-89.38542,3206727.053823762,267551.6594069835,2006-06-06,5.12
4,29.0378,-89.3093,3214373.9828398027,275123.7876519343,2006-06-06,6.96
5,29.09302,-89.01282,3219965.0178774856,304105.8530494176,2006-06-06,27.1
6,29.15112,-88.96487,3226325.3119870564,308880.99439047376,2006-06-06,55.72
7,29.23867,-89.75688,3237579.0372030153,232044.7898554154,2006-06-06,19.95
