,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.96725,-93.0958,3204360.9848248754,490666.14440198714,2006-09-11,0.5896
1,29.11713,-93.08952,3220966.0403500753,491290.60411632684,2006-09-11,0.4938
2,29.1666,-93.42675,3226519.016357436,458501.20183734444,2006-09-11,1.3016
3,29.29178,-93.08983,3240316.3894980103,491275.2469761845,2006-09-11,0.638
4,29.325,-93.42373,3244068.2132768594,458858.2932980341,2006-09-11,1.0588
5,29.39272,-93.0884,3251500.149672956,491422.5915343431,2006-09-11,1.4034
6,29.48888,-93.42085,3262225.0638439446,459203.41587968526,2006-09-11,1.9756
7,29.50783,-93.08552,3264254.009517156,491711.39641411026,2006-09-11,1.2024
8,29.6326,-93.08328,3278078.487019253,491938.41374183394,2006-09-11,2.454
9,29.64142,-93.42847,3279129.558632644,458527.10333046713,2006-09-11,7.5205
