,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.4838,-91.2495,3152045.875864734,671353.3920948247,2003-06-18,0.64
1,28.6923,-91.6167,3174679.1766282665,635137.5346857437,2003-06-18,0.67
2,28.7442,-91.2492,3180902.0862681675,670960.3539260826,2003-06-18,1.73
3,28.8553,-91.2485,3193214.7576202936,670847.3494555996,2003-06-18,4.12
4,28.8835,-91.6167,3195865.165602087,634891.1658013902,2003-06-18,0.93
5,29.05,-91.6168,3214314.608784344,634665.6638950582,2003-06-18,9.15
6,29.1833,-91.6169,3229085.5313215293,634482.3910237539,2003-06-18,1.61
