,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.2173,-90.83273,3123176.7337469696,712690.703044005,2006-09-08,0.3708
1,28.39107,-90.8336,3142433.0830378463,712259.8771555698,2006-09-08,0.4734
2,28.48373,-91.24963,3152037.9335696013,671340.7774956601,2006-09-08,0.44
3,28.584,-91.25185,3163145.889406854,670961.43932497,2006-09-08,0.381
4,28.60868,-90.83247,3166552.0784432413,711935.0731488214,2006-09-08,0.6008
5,28.60983,-90.23317,3167888.9873251934,770552.1654387533,2006-09-08,0.4094
6,28.65878,-91.24997,3171435.200603077,671024.0459635716,2006-09-08,0.6552
7,28.71648,-90.83243,3178499.5157057596,711722.0863820473,2006-09-08,1.1308
8,28.83268,-90.39185,3192242.804437784,754489.0033578118,2006-09-08,0.4022
9,28.84112,-90.83432,3192310.0799968834,711285.9331846186,2006-09-08,3.9836
10,28.85602,-90.46072,3194684.2601083266,747711.2908300966,2006-09-08,0.3648
11,28.8582,-91.25112,3193532.357190113,670587.0071805166,2006-09-08,1.4658
12,28.9147,-90.48918,3201129.635618612,744796.2252519708,2006-09-08,0.4044
13,28.50033,-90.83368,3154541.781557341,712033.8563277823,2006-09-08,0.5902
