,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.2579,-91.2484,3127015.528825359,671824.8335471185,2007-08-21,0.29
1,28.3915,-90.8334,3142481.090439938,712278.6206766823,2007-08-21,0.44
2,28.4831,-91.2518,3151965.028076108,671129.3397827165,2007-08-21,0.53
3,28.5004,-90.8331,3154550.5645102737,712090.5000211506,2007-08-21,1.2
4,28.5827,-91.2505,3163003.7617172,671095.5909945839,2007-08-21,2.27
5,28.6087,-90.833,3166553.3557120916,711883.19758027,2007-08-21,1.47
6,28.6588,-91.2517,3171434.940325073,670854.9183788688,2007-08-21,0.55
7,28.7175,-90.8337,3178610.3061487526,711595.9496662032,2007-08-21,1.3
8,28.7828,-91.6173,3184706.312365905,634962.5381896489,2007-08-21,1.33
9,28.8568,-91.2508,3193377.6736757266,670620.5120999739,2007-08-21,6.09
10,28.2647,-90.8336,3128428.219288689,712511.2716977494,2007-08-21,0.25
11,28.3751,-91.2499,3140000.199256098,671489.4421968721,2007-08-21,0.53
12,28.8423,-90.8314,3192446.0628294772,711568.4955674233,2007-08-21,1.44
13,28.8835,-91.6186,3195863.0057651303,634705.8698315893,2007-08-21,1.63
14,28.9732,-90.8299,3206956.7185374494,711449.1180697007,2007-08-21,6.18
15,29.0165,-90.4729,3212447.7866455917,746142.826831135,2007-08-21,4.13
