,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.96733,-93.08307,3204368.9104690235,491906.44321117725,2006-06-11,0.34
1,29.11595,-93.0822,3220834.7848217743,492002.675519534,2006-06-11,0.81
2,29.29125,-93.08292,3240257.172442379,491946.34050169226,2006-06-11,0.53
3,29.32435,-93.42338,3243996.071283558,458892.01593518,2006-06-11,0.57
4,29.3908,-93.08315,3251287.043268131,491931.84512549563,2006-06-11,0.72
5,29.48822,-93.42025,3262151.724974907,459261.3155071191,2006-06-11,1.4
6,29.62967,-93.08305,3277753.821265842,491960.4453161384,2006-06-11,1.05
7,29.64107,-93.4276,3279090.466205682,458611.17090246937,2006-06-11,2.51
