,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.657,-92.397,3170133.8285731664,558925.5929075682,2006-04-13,0.21
1,28.966,-93.096,3204222.511916739,490646.5458865258,2006-04-13,1.23
2,29.158,-92.385,3225647.267068845,559810.2453427857,2006-04-13,2.32
3,29.292,-93.09,3240340.77736829,491258.75442503975,2006-04-13,1.22
4,29.308,-92.384,3242267.574701566,559820.2342080491,2006-04-13,7.2
5,29.508,-93.083,3264272.668590555,491955.6484965595,2006-04-13,1.91
6,28.909,-92.393,3198055.1955343815,559174.0612070529,2006-04-13,0.39
