,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.1799,-91.61667,3117905.306895869,635793.3039934745,2006-09-09,0.195
1,28.25953,-91.24895,3127195.364804923,671768.257186191,2006-09-09,0.19206
2,28.26992,-91.99858,3127509.9367001355,598218.4810158826,2006-09-09,0.3112
3,28.37597,-91.24988,3140096.632198096,671490.0023913347,2006-09-09,0.287
4,28.45058,-91.61668,3147896.1292100837,635448.806051231,2006-09-09,0.16856
5,28.58262,-91.61782,3162525.032076278,635168.642375173,2006-09-09,0.478
6,28.67435,-92.00142,3172315.2517209738,597567.5892105288,2006-09-09,0.5332
7,28.69115,-91.618,3174550.280346494,635011.997411409,2006-09-09,0.5002
8,28.78338,-91.61735,3184770.522709728,634956.9103917936,2006-09-09,0.6244
9,28.78878,-91.9981,3184996.377870747,597785.4083367997,2006-09-09,0.8392
10,28.88417,-91.61563,3195940.623857082,634994.6500909843,2006-09-09,0.7238
11,28.90107,-92.00073,3197435.7205770784,597424.0124407349,2006-09-09,0.764
12,28.98258,-92.00022,3206467.407535746,597397.4683749258,2006-09-09,1.4676
13,29.01085,-91.61833,3209974.686801818,634567.4669940049,2006-09-09,1.2106
14,29.13452,-92.00087,3223302.0309510836,597191.5385926273,2006-09-09,1.438
