,Latitude,Longitude,UTM_Northing,UTM_Easting,Date,ChlA
0,28.726,-89.903,3181083.8513788087,216439.81260545558,2006-04-16,0.39
1,28.833,-89.758,3192608.858693158,230884.35971120925,2006-04-16,11.56
2,28.873,-89.618,3196733.488309672,244648.1483471296,2006-04-16,20.09
3,28.907,-89.456,3200164.01421076,260532.6110823339,2006-04-16,19.42
4,28.915,-90.484,3201173.612261158,745300.72463711,2006-04-16,11.17
5,28.959,-90.042,3207048.4186187903,788291.1256170953,2006-04-16,10.07
6,28.966,-89.387,3206566.115490851,267394.3361469772,2006-04-16,4.12
7,28.983,-90.517,3208643.2290152283,741924.0495747271,2006-04-16,5.35
8,28.983,-89.566,3208816.0550033227,249986.2396041206,2006-04-16,14.46
9,29.018,-90.464,3212632.6584429024,747006.4274472825,2006-04-16,6.71
10,29.027,-90.122,3214394.784223444,780306.9442827662,2006-04-16,10.74
11,29.033,-89.329,3213879.668708767,273194.3681628722,2006-04-16,4.17
12,28.826,-90.005,3192393.414369615,792271.7180531977,2006-04-16,12.23
13,29.07,-90.191,3218999.8620565436,773470.1139352821,2006-04-16,8.34
